currency,price,volume,exchange_rate,bid_spread,market_cap,timestamp
bitcoin,63513.24,29478567521,1.2,0.018669,1059639893934,2024-07-02T17:45:23.855172Z
ethereum,3710.92,14865086522,23.05,0.01151,367443630337,2024-07-13T17:12:49.414207Z
binancecoin,619.88,814817006,122.77,0.017493,86950589052,2024-07-17T11:47:18.794038Z
solana,195.07,3802279062,319.95,0.014961,80445763837,2024-07-19T17:37:30.327877Z
bitcoin,78937.47,36765210976,1.02,0.01703,1082999671195,2024-07-05T17:17:12.515589Z
ethereum,2742.52,13611464041,19.72,0.009677,404910651621,2024-07-06T23:47:27.196436Z
binancecoin,476.08,776866373,100.84,0.014192,80344431668,2024-07-23T22:21:59.106401Z
solana,175.78,3582864240,361.08,0.016605,79851120973,2024-07-22T15:35:33.793632Z
bitcoin,76313.35,36430816749,1.09,0.019385,1113457393297,2024-07-04T12:34:13.741137Z
ethereum,3591.24,14480812999,18.18,0.009307,386273423901,2024-07-16T21:41:09.461697Z
binancecoin,494.45,839846026,114.6,0.019165,81251014130,2024-07-24T22:11:57.191157Z
solana,147.82,2730894444,435.99,0.01786,78679680426,2024-07-15T07:07:59.820800Z
bitcoin,77440.53,30626362444,0.81,0.020429,1479860781543,2024-07-17T20:14:33.450173Z
ethereum,3455.7,11627443835,22.08,0.010436,463490992460,2024-07-27T19:25:48.544474Z
binancecoin,644.49,615335154,116.55,0.017093,83979389810,2024-07-16T12:48:12.333519Z
solana,168.41,2781274030,384.42,0.017286,68216023553,2024-07-11T12:54:28.807105Z
bitcoin,67091.85,28062850821,0.86,0.020378,1499660056576,2024-07-19T01:11:46.944757Z
ethereum,3394.04,13120899806,20.51,0.009615,441752114609,2024-07-03T01:31:00.966081Z
binancecoin,493.33,749777012,116.21,0.016885,87475789348,2024-07-14T21:44:21.057584Z
solana,202.43,2753479502,316.93,0.017426,95072253654,2024-07-24T05:48:20.358819Z
bitcoin,52893.96,31209002238,0.9,0.019138,1380729783423,2024-07-17T17:35:10.872353Z
ethereum,3642.91,16453138780,22.18,0.00888,339781072001,2024-07-04T04:23:09.917203Z
binancecoin,473.92,664857999,116.86,0.020818,82864508030,2024-07-12T20:12:17.959548Z
solana,187.16,3650413970,382.45,0.01759,77872008047,2024-07-06T07:36:02.601087Z
bitcoin,63402.31,33794421301,0.91,0.016798,1460378661457,2024-07-08T10:21:09.253939Z
ethereum,3707.26,15340785177,21.74,0.011651,393887970439,2024-07-08T10:05:59.470929Z
binancecoin,664.15,593399047,135.76,0.020812,78197869152,2024-07-20T15:45:17.014849Z
solana,195.78,3629250137,412.6,0.017695,95969770655,2024-07-21T10:26:58.254698Z
bitcoin,74648.12,28464419454,0.89,0.020895,1286267125349,2024-07-21T11:21:23.789978Z
ethereum,3453.8,14273635342,19.13,0.010997,327953627499,2024-07-07T09:34:42.509972Z
binancecoin,558.96,603312900,94.55,0.014784,80916647667,2024-07-07T18:52:46.078591Z
solana,205.84,2839874799,368.26,0.017312,69257986661,2024-07-15T23:44:51.788475Z
bitcoin,58450.11,28379877493,0.81,0.018566,1315729500524,2024-07-22T17:49:26.705816Z
ethereum,2709.21,14350484408,22.51,0.010835,454855989236,2024-07-03T04:57:00.589149Z
binancecoin,583.78,837863326,94.08,0.018064,84520831556,2024-07-15T10:10:14.393095Z
solana,181.36,3107958736,424.07,0.014037,80658754541,2024-07-02T03:44:07.762232Z
bitcoin,72854.2,31551266988,0.82,0.022326,1272863278374,2024-07-20T10:13:32.711453Z
ethereum,3204.93,16621724453,24.25,0.008296,436829497579,2024-07-13T03:54:20.319983Z
binancecoin,654.72,791559944,121.18,0.015667,78608282617,2024-07-30T15:32:57.748817Z
solana,199.02,3641523630,412.34,0.012924,88018656365,2024-07-15T08:09:09.893228Z
bitcoin,70936.41,26413160505,1.13,0.022015,1449775587667,2024-07-21T13:06:45.418402Z
ethereum,3845.07,13212494348,19.61,0.011478,411255081365,2024-07-08T02:08:32.054943Z
binancecoin,529.3,838667828,116.71,0.018957,86159985127,2024-07-09T08:44:50.926296Z
solana,209.98,2868507553,376.79,0.01429,68077351354,2024-07-30T05:44:44.992730Z
bitcoin,75992.87,28075891690,1.03,0.021614,1172308960400,2024-07-07T22:25:55.114511Z
ethereum,3046.84,12367483583,18.68,0.008372,469118020675,2024-07-01T10:49:43.727640Z
binancecoin,508.52,729763971,104.65,0.016518,73993564175,2024-07-23T10:33:52.849291Z
solana,181.49,3885698055,419.31,0.017965,66633921441,2024-07-19T07:36:55.587735Z
bitcoin,62467.9,30271592941,0.95,0.022852,1225814119311,2024-07-19T06:50:48.743286Z
ethereum,2990.91,15314417105,20.92,0.00848,474429805031,2024-07-03T17:20:10.870061Z
binancecoin,584.76,808002992,98.51,0.020102,97623193594,2024-07-24T00:33:56.298387Z
solana,145.76,2987524668,321.01,0.013985,71874384140,2024-07-26T03:25:10.817547Z
bitcoin,77161.57,36954419577,0.92,0.01934,1426992014539,2024-07-20T20:51:07.122709Z
ethereum,3402.77,14080023686,20.8,0.009324,412833738335,2024-07-14T03:39:20.668307Z
binancecoin,528.27,611031228,105.83,0.017372,94779034854,2024-07-05T14:26:05.244547Z
